"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "MDX", "JSON", "JSON with Comments", "SVG", "YAML", "Markdown", "Docker", "Prisma", "SQL", "TOML", "SCSS", "CSS", "Shell Script", "comment", "blank", "total"
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 9, 20, 116
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/seed.ts", "TypeScript", 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 242
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/public/assets/404.svg", "SVG", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/public/assets/landing-banner.svg", "SVG", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/public/assets/restricted-ogp-logo-full.svg", "SVG", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/public/mockServiceWorker.js", "JavaScript", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 51, 285
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/public/vercel.svg", "SVG", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/render.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 27
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/sandbox.config.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AppNavbar.tsx", "TypeScript JSX", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 70
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AppProviders/EnvProvider.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 26
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AppProviders/FeatureProvider.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 51
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AppProviders/index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AuthWrappers/EnforceLoginStatePageWrapper.tsx", "TypeScript JSX", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 54
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AuthWrappers/PublicPageWrapper.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 39
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AuthWrappers/index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
